[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
1,FINANCIACION BASICA,FINANCIACION BASICA,Owner's Equity,,,Yes,,,,,,,,,,,,
2,ACTIVO NO CORRIENTE,ACTIVO NO CORRIENTE,Liability,,,Yes,,,,,,,,,,,,
3,EXISTENCIAS,EXISTENCIAS,Asset,,,Yes,,,,,,,,,,,,
4,ACREEDORES Y DEUDORES POR OP. COM.,ACREEDORES Y DEUDORES POR OP. COM.,Liability,,,Yes,,,,,,,,,,,,
5,CUENTAS FINANCIERAS,CUENTAS FINANCIERAS,Liability,,,Yes,,,,,,,,,,,,
6,COMPRAS Y GASTOS,COMPRAS Y GASTOS,Expense,,,Yes,,,,,,,,,,,,
7,VENTAS E INGRESOS,VENTAS E INGRESOS,Revenue,,,Yes,,,,,,,,,,,,
10,CAPITAL,CAPITAL,Owner's Equity,,,Yes,,1,,,,,,,,,,
11,RESERVAS,RESERVAS,Owner's Equity,,,Yes,,1,,,,,,,,,,
12,RTDOS PDTES DE APLICACION,RTDOS PDTES DE APLICACION,Owner's Equity,,,Yes,,1,,,,,,,,,,
13,SUBV/DONAC/AJSTES CAMB.VALOR,SUBV/DONAC/AJSTES CAMB.VALOR,Owner's Equity,,,Yes,,1,,,,,,,,,,
14,PROVISIONES,PROVISIONES,Liability,,,Yes,,1,,,,,,,,,,
15,DEUDAS LP CARACT.ESPECIALES,DEUDAS LP CARACT.ESPECIALES,Liability,,,Yes,,1,,,,,,,,,,
16,DEUDAS LP PARTES VINCULADAS,DEUDAS LP PARTES VINCULADAS,Liability,,,Yes,,1,,,,,,,,,,
17,DEUD.LP PREST.RECIB/OT.CONC.,DEUD.LP PREST.RECIB/OT.CONC.,Liability,,,Yes,,1,,,,,,,,,,
18,PASIVOS FIANZAS/GARANTIAS LP,PASIVOS FIANZAS/GARANTIAS LP,Liability,,,Yes,,1,,,,,,,,,,
19,SITUAC.TRANSITORIAS FINANC.,SITUAC.TRANSITORIAS FINANC.,Liability,,,Yes,,1,,,,,,,,,,
20,INMOVILIZACIONES INTANGIBLES,INMOVILIZACIONES INTANGIBLES,Asset,,,Yes,,2,,,,,,,,,,
21,INMOVILIZACIONES MATERIALES,INMOVILIZACIONES MATERIALES,Asset,,,Yes,,2,,,,,,,,,,
22,INVERSIONES INMOBILIARIAS,INVERSIONES INMOBILIARIAS,Asset,,,Yes,,2,,,,,,,,,,
23,INMOV.MATERIALES EN CURSO,INMOV.MATERIALES EN CURSO,Asset,,,Yes,,2,,,,,,,,,,
24,INV.FIN.LP PARTES VINCULADAS,INV.FIN.LP PARTES VINCULADAS,Asset,,,Yes,,2,,,,,,,,,,
25,OTRAS INV.FINANCIERAS A LP,OTRAS INV.FINANCIERAS A LP,Asset,,,Yes,,2,,,,,,,,,,
26,FIANZAS Y DEPOSIT.CONST.LP,FIANZAS Y DEPOSIT.CONST.LP,Asset,,,Yes,,2,,,,,,,,,,
28,AMORT.ACUM.DEL INMOVILIZADO,AMORT.ACUM.DEL INMOVILIZADO,Asset,,,Yes,,2,,,,,,,,,,
